iter	Passed	Remaining
0	59	59252
1	59	29764
2	59	19934
3	60	15074
4	60	12110
5	61	10148
6	61	8748
7	62	7692
8	62	6871
9	62	6214
10	63	5670
11	63	5227
12	63	4842
13	64	4515
14	64	4230
15	64	3983
16	65	3760
17	65	3566
18	65	3397
19	66	3241
20	66	3098
21	66	2967
22	67	2847
23	67	2741
24	67	2643
25	68	2550
26	68	2466
27	68	2389
28	69	2315
29	69	2245
30	69	2178
31	69	2116
32	70	2059
33	70	2005
34	70	1954
35	71	1908
36	71	1862
37	71	1819
38	72	1777
39	72	1741
40	72	1704
41	73	1668
42	73	1634
43	73	1602
44	74	1572
45	74	1542
46	74	1514
47	75	1488
48	75	1461
49	75	1436
50	75	1412
51	76	1389
52	76	1367
53	76	1348
54	77	1327
55	77	1306
56	77	1287
57	78	1268
58	78	1250
59	78	1232
60	79	1217
61	79	1202
62	79	1187
63	80	1173
64	80	1158
65	80	1145
66	81	1131
67	81	1118
68	82	1107
69	82	1094
70	82	1082
71	83	1070
72	83	1058
73	83	1046
74	84	1036
75	84	1025
76	84	1014
77	84	1003
78	85	993
79	85	983
80	85	974
81	86	965
82	86	954
83	86	945
84	86	936
85	87	927
86	87	918
87	87	909
88	88	901
89	88	893
90	88	885
91	88	877
92	89	870
93	89	862
94	89	855
95	90	849
96	90	843
97	91	837
98	91	830
99	91	824
100	91	818
101	92	811
102	92	806
103	92	801
104	93	796
105	93	790
106	94	784
107	94	778
108	94	773
109	94	767
110	95	762
111	95	758
112	95	753
113	96	748
114	96	743
115	96	739
116	97	733
117	97	728
118	97	725
119	98	720
120	98	715
121	98	710
122	99	706
123	99	702
124	99	698
125	100	693
126	100	689
127	100	685
128	101	682
129	101	678
130	101	674
131	102	670
132	102	667
133	102	663
134	102	659
135	103	656
136	103	652
137	104	649
138	104	646
139	104	643
140	105	639
141	105	636
142	105	633
143	105	629
144	106	626
145	106	623
146	106	620
147	107	617
148	107	614
149	107	610
150	108	608
151	108	605
152	108	601
153	108	598
154	109	596
155	109	593
156	110	591
157	110	588
158	110	585
159	111	582
160	111	579
161	111	577
162	112	575
163	112	572
164	112	570
165	113	567
166	113	565
167	113	562
168	113	559
169	114	557
170	114	554
171	114	552
172	114	549
173	115	547
174	115	545
175	115	542
176	116	540
177	116	538
178	116	536
179	117	534
180	117	532
181	118	530
182	118	528
183	118	526
184	118	524
185	119	522
186	119	519
187	119	517
188	120	516
189	120	514
190	120	512
191	121	509
192	121	507
193	121	505
194	122	503
195	122	501
196	122	500
197	123	498
198	123	496
199	123	494
200	123	492
201	124	490
202	124	488
203	124	486
204	125	484
205	125	483
206	125	481
207	125	479
208	126	477
209	126	475
210	126	473
211	127	472
212	127	470
213	127	468
214	127	466
215	128	465
216	128	463
217	128	461
218	128	459
219	129	458
220	129	456
221	129	454
222	130	452
223	130	451
224	130	450
225	130	448
226	131	446
227	131	445
228	131	444
229	132	442
230	132	440
231	132	439
232	133	437
233	133	436
234	133	435
235	134	434
236	134	432
237	134	431
238	135	429
239	135	428
240	135	427
241	135	425
242	136	424
243	136	423
244	137	422
245	137	421
246	137	419
247	138	418
248	138	417
249	138	416
250	138	414
251	139	413
252	139	412
253	139	410
254	140	409
255	140	408
256	140	407
257	141	405
258	141	404
259	141	403
260	142	402
261	142	400
262	142	399
263	142	398
264	143	397
265	143	396
266	143	394
267	144	393
268	144	392
269	144	391
270	145	390
271	145	388
272	145	387
273	146	386
274	146	386
275	146	385
276	147	384
277	147	383
278	147	382
279	148	380
280	148	379
281	148	378
282	149	378
283	149	377
284	149	376
285	150	374
286	150	373
287	150	373
288	151	372
289	151	371
290	152	371
291	152	370
292	153	369
293	153	368
294	153	367
295	153	365
296	154	364
297	154	363
298	154	362
299	154	361
300	155	360
301	155	359
302	155	358
303	155	357
304	156	356
305	156	354
306	156	353
307	156	352
